price,location,brand,type,year,mileage
75000000,Kembangan,Nissan,Grand livina,2011,90.000-95.000
160000000,Kemayoran,Honda,Mobilio,2017,65.000-70.000
183000000,Kemayoran,Toyota,Raize,2021,15.000-20.000
207000000,Setia Budi,Mazda,2,2018,70.000-75.000
225000000,Grogol Petamburan,Mitsubishi,Pajero Sport,2010,85.000-90.000
147500000,Pulo Gadung,Toyota,Avanza,2017,60.000-65.000
147500000,Tebet,Toyota,Avanza,2017,60.000-65.000
147500000,Cengkareng,Toyota,Avanza,2017,60.000-65.000
147500000,Kembangan,Toyota,Avanza,2017,60.000-65.000
109000000,Kemang,Toyota,Calya,2018,45.000-50.000
109000000,Kramat Jati,Toyota,Calya,2018,45.000-50.000
109000000,Ciracas,Toyota,Calya,2018,45.000-50.000
109000000,Kembangan,Toyota,Calya,2018,45.000-50.000
285000000,Cilandak,Mercedes-Benz,C250,2012,40.000-45.000
163500000,Kemang,Toyota,Avanza,2018,55.000-60.000
